,Title,Publication Date,Author,Genre,Average Rating,Number of Ratings,Pages,Rank,Language,Currently Reading,Want to Read
64,Last One to Die,"First published January 7, 2021",Cynthia Murphy,Mystery,3.35,"4,396 ratings","294 pages, Paperback",66,,190 people are currently reading,"9,037 people want to read"
65,Outlawed,"First published January 5, 2021",Anna North,Historical Fiction,3.51,"77,012 ratings","272 pages, ebook",67,,"3,835 people are currently reading",82.6k people want to read
66,All Rhodes Lead Here,"First published April 1, 2021",Mariana Zapata,Romance,4.25,"138,674 ratings","572 pages, Kindle Edition",68,,"5,788 people are currently reading",209k people want to read
67,How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,"First published February 16, 2021",Bill Gates,,4.13,"48,538 ratings","288 pages, Hardcover",69,,"7,583 people are currently reading",86.1k people want to read
68,Mina and the Undead,"First published April 1, 2021",Amy McCaw,Horror,3.85,"1,739 ratings","294 pages, Paperback",70,,51 people are currently reading,10.7k people want to read
69,Think Again: The Power of Knowing What You Don't Know,"First published February 2, 2021",Adam M. Grant,,4.15,"120,376 ratings","307 pages, Hardcover",71,,20.4k people are currently reading,306k people want to read
70,Instructions for Dancing,"First published June 3, 2021",Nicola Yoon,,3.97,"53,711 ratings","304 pages, Kindle Edition",72,,"1,287 people are currently reading",97.1k people want to read
71,Dial A for Aunties,"First published April 27, 2021",Jesse Q. Sutanto,,3.70,"103,736 ratings","299 pages, Hardcover",73,,"4,228 people are currently reading",173k people want to read
72,Ace of Spades,"First published June 1, 2021",Faridah Àbíké-Íyímídé,,4.15,"92,033 ratings","470 pages, Paperback",74,,"3,532 people are currently reading",206k people want to read
73,Black Buck,"First published January 5, 2021",Mateo Askaripour,,3.71,"27,907 ratings","388 pages, Hardcover",75,,"1,903 people are currently reading",62.9k people want to read
74,Rock Paper Scissors,"First published August 19, 2021",Alice Feeney,,3.91,"521,693 ratings","294 pages, Hardcover",76,,29.1k people are currently reading,542k people want to read
75,Gleam,"First published May 31, 2021",Raven Kennedy,Romance,4.38,"143,231 ratings","674 pages, Kindle Edition",77,,"8,060 people are currently reading",97.5k people want to read
76,Seven Days in June,"First published June 1, 2021",Tia Williams,,4.01,"180,554 ratings","336 pages, Hardcover",78,,10.4k people are currently reading,356k people want to read
77,Ariadne,"First published March 30, 2021",Jennifer Saint,,3.79,"129,742 ratings","308 pages, Hardcover",79,,"8,054 people are currently reading",283k people want to read
78,The Shadow of the Gods,"First published May 4, 2021",John Gwynne,,4.22,"57,359 ratings","500 pages, Kindle Edition",80,,12.4k people are currently reading,280k people want to read
79,The Forest of Vanishing Stars,"First published July 6, 2021",Kristin Harmel,Historical Fiction,4.25,"79,922 ratings","376 pages, Hardcover",81,,"3,976 people are currently reading",119k people want to read
80,When the Stars Go Dark,"First published April 13, 2021",Paula McLain,Mystery,3.85,"58,601 ratings","370 pages, Hardcover",82,,"3,848 people are currently reading",98.6k people want to read
81,The Other Black Girl,"First published June 1, 2021",Zakiya Dalila Harris,Fiction,3.36,"80,326 ratings","357 pages, Hardcover",83,,"6,266 people are currently reading",118k people want to read
82,Lycanthropy and Other Chronic Illnesses,"First published April 27, 2021",Kristen O'Neal,Young Adult,3.97,"2,664 ratings","382 pages, Paperback",84,,128 people are currently reading,"8,895 people want to read"
83,The Girl Who...,"First published January 14, 2021",Andreina Cordani,Young Adult,3.65,330 ratings,"272 pages, Paperback",85,,6 people are currently reading,"1,792 people want to read"
84,The One Hundred Years of Lenni and Margot,"First published June 1, 2021",Marianne Cronin,,4.29,"110,688 ratings","322 pages, Paperback",86,,"6,837 people are currently reading",138k people want to read
85,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race","First published March 9, 2021",Walter Isaacson,,4.28,"37,633 ratings","536 pages, Hardcover",87,,11.5k people are currently reading,84.1k people want to read
86,The Plot,"First published May 11, 2021",Jean Hanff Korelitz,,3.82,"124,907 ratings","320 pages, Hardcover",88,,"9,493 people are currently reading",125k people want to read
87,Twice Shy,"First published April 6, 2021",Sarah Hogle,Romance,3.66,"36,234 ratings","302 pages, Paperback",89,,910 people are currently reading,64.8k people want to read
88,The Premonition: A Pandemic Story,"First published May 4, 2021",Michael Lewis,,4.33,"40,983 ratings","304 pages, Hardcover",90,,"5,835 people are currently reading",45.8k people want to read
89,Great Circle,"First published May 4, 2021",Maggie Shipstead,,4.10,"73,581 ratings","608 pages, Hardcover",91,,"9,940 people are currently reading",133k people want to read
90,Yellow Wife,"First published January 12, 2021",Sadeqa Johnson,,4.43,"68,820 ratings","278 pages, Hardcover",92,,"3,923 people are currently reading",110k people want to read
91,Across the Green Grass Fields,"First published January 12, 2021",Seanan McGuire,Fantasy,3.80,"21,934 ratings","174 pages, Hardcover",93,,346 people are currently reading,14.8k people want to read
92,The Night She Disappeared,"First published July 22, 2021",Lisa Jewell,,4.11,"268,822 ratings","416 pages, Hardcover",94,,11.1k people are currently reading,221k people want to read
93,The Removed,"First published February 2, 2021",Brandon Hobson,Fiction,3.39,"12,753 ratings","288 pages, Hardcover",95,,637 people are currently reading,36k people want to read
94,Razorblade Tears,"First published July 6, 2021",S.A. Cosby,,4.10,"107,151 ratings","336 pages, Hardcover",96,,"7,011 people are currently reading",145k people want to read
95,Six Crimson Cranes,"First published July 6, 2021",Elizabeth Lim,,4.20,"88,693 ratings","454 pages, ebook",97,,"5,018 people are currently reading",236k people want to read
96,Survive the Night,"First published June 29, 2021",Riley Sager,Thriller,3.52,"153,004 ratings","336 pages, Hardcover",98,,"5,111 people are currently reading",175k people want to read
97,The Boy I Am,"First published January 7, 2021",K.L. Kettle,Dystopia,3.58,589 ratings,"384 pages, Paperback",99,,36 people are currently reading,"2,023 people want to read"
98,Never Saw Me Coming,"First published September 7, 2021",Vera Kurian,Thriller,3.62,"35,290 ratings","400 pages, Hardcover",100,,"1,607 people are currently reading",61.8k people want to read
99,Harlem Shuffle,"First published September 14, 2021",Colson Whitehead,,3.73,"74,664 ratings","318 pages, Hardcover",1,,"9,583 people are currently reading",127k people want to read
100,The Hill We Climb: An Inaugural Poem for the Country,"First published January 1, 2021",Amanda Gorman,,4.55,"33,114 ratings","29 pages, Hardcover",2,,496 people are currently reading,53k people want to read
101,A Desolation Called Peace,"First published March 2, 2021",Arkady Martine,,4.32,"31,739 ratings","496 pages, Kindle Edition",3,,"2,470 people are currently reading",31.4k people want to read
102,A Psalm for the Wild-Built,"First published July 13, 2021",Becky Chambers,,4.26,"139,134 ratings","151 pages, Kindle Edition",4,,"7,113 people are currently reading",194k people want to read
103,Infinite Country,"First published March 2, 2021",Patricia Engel,,3.93,"47,751 ratings","191 pages, Hardcover",5,,"2,510 people are currently reading",84.7k people want to read
104,Remote Control,"First published January 19, 2021",Nnedi Okorafor,,3.85,"17,928 ratings","156 pages, Kindle Edition",6,,464 people are currently reading,41.4k people want to read
105,The Prophets,"First published January 5, 2021",Robert Jones Jr.,,3.91,"21,126 ratings","400 pages, Hardcover",7,,"2,992 people are currently reading",91.8k people want to read
106,Empire of the Vampire,"First published September 7, 2021",Jay Kristoff,Fantasy,4.35,"58,066 ratings","739 pages, Hardcover",8,,12.1k people are currently reading,199k people want to read
107,Wish You Were Here,"First published November 25, 2021",Jodi Picoult,,3.92,"259,988 ratings","310 pages, Hardcover",9,,19.4k people are currently reading,315k people want to read
108,The People We Keep,"First published August 3, 2021",Allison Larkin,Fiction,4.10,"97,528 ratings","368 pages, Hardcover",10,,"3,655 people are currently reading",156k people want to read
109,The Last House on Needless Street,"First published March 18, 2021",Catriona Ward,,3.84,"117,172 ratings","337 pages, Hardcover",11,,"9,249 people are currently reading",196k people want to read
110,The Ex Hex,"First published September 28, 2021",Erin Sterling,,3.48,"243,862 ratings","308 pages, Paperback",12,,"8,252 people are currently reading",299k people want to read
111,The Sum of Us: What Racism Costs Everyone and How We Can Prosper Together,"First published February 16, 2021",Heather McGhee,,4.63,"19,318 ratings","415 pages, Hardcover",13,,"4,570 people are currently reading",63.6k people want to read
112,Hour of the Witch,"First published May 4, 2021",Chris Bohjalian,,3.84,"47,099 ratings","406 pages, Hardcover",14,,"4,650 people are currently reading",94k people want to read
113,The Last Graduate,"First published September 28, 2021",Naomi Novik,,4.24,"113,528 ratings","388 pages, Hardcover",15,,"4,039 people are currently reading",92.2k people want to read
114,The Echo Wife,"First published February 16, 2021",Sarah Gailey,,3.61,"35,334 ratings","256 pages, Hardcover",16,,"1,298 people are currently reading",82.2k people want to read
115,Our Darkest Night,"First published January 5, 2021",Jennifer Robson,Historical Fiction,4.11,"18,804 ratings","384 pages, Paperback",17,,"1,107 people are currently reading",41.4k people want to read
116,The Road Trip,"First published April 17, 2021",Beth O'Leary,,3.57,"103,507 ratings","414 pages, Hardcover",18,,"3,876 people are currently reading",142k people want to read
117,"Four Hundred Souls: A Community History of African America, 1619-2019","First published February 2, 2021",Ibram X. Kendi,,4.56,"10,401 ratings","504 pages, Hardcover",19,,"3,080 people are currently reading",55.6k people want to read
118,The Charm Offensive,"First published September 7, 2021",Alison Cochrun,,4.13,"71,010 ratings","354 pages, Paperback",20,,"1,900 people are currently reading",110k people want to read
119,Once There Were Wolves,"First published August 3, 2021",Charlotte McConaghy,,4.10,"94,757 ratings","258 pages, Hardcover",21,,"3,585 people are currently reading",182k people want to read
120,For Your Own Good,"First published July 20, 2021",Samantha Downing,Thriller,3.79,"37,213 ratings","373 pages, Hardcover",22,,786 people are currently reading,71k people want to read
121,No One Is Talking About This,"First published February 16, 2021",Patricia Lockwood,Fiction,3.55,"51,138 ratings","210 pages, Hardcover",23,,"4,295 people are currently reading",91.1k people want to read
122,Apples Never Fall,"First published September 14, 2021",Liane Moriarty,,3.76,"399,441 ratings","467 pages, Hardcover",24,,31.5k people are currently reading,257k people want to read
123,The Kitchen Front,"First published February 23, 2021",Jennifer Ryan,Historical Fiction,3.97,"30,823 ratings","408 pages, Hardcover",25,,"2,484 people are currently reading",40.6k people want to read
124,"The Galaxy, and the Ground Within","First published February 19, 2021",Becky Chambers,Science Fiction,4.40,"36,383 ratings","336 pages, ebook",26,,"1,666 people are currently reading",28.4k people want to read
125,The Drowning Kind,"First published April 6, 2021",Jennifer McMahon,,3.82,"27,967 ratings","319 pages, Hardcover",27,,"1,040 people are currently reading",79.2k people want to read
126,Fuzz: When Nature Breaks the Law,"First published September 14, 2021",Mary Roach,,3.84,"26,553 ratings","308 pages, Hardcover",28,,"3,902 people are currently reading",58.6k people want to read
127,The Nature of Fragile Things,"First published February 2, 2021",Susan Meissner,Historical Fiction,4.26,"71,835 ratings","367 pages, Hardcover",29,,"3,278 people are currently reading",13.2k people want to read
128,Yours is the Night,"First published August 3, 2021",Amanda Dykes,Historical Fiction,4.33,"1,289 ratings","362 pages, Paperback",30,,101 people are currently reading,"5,406 people want to read"
129,Perfect on Paper,"First published March 9, 2021",Sophie Gonzales,,3.98,"34,208 ratings","304 pages, Hardcover",31,,"1,129 people are currently reading",76.9k people want to read
130,The Consequences of Fear,"First published March 23, 2021",Jacqueline Winspear,Mystery,4.27,"17,820 ratings","341 pages, Hardcover",32,,"1,548 people are currently reading",11k people want to read
131,State of Terror,"First published October 12, 2021",Hillary Rodham Clinton,Fiction,4.09,"79,756 ratings","495 pages, Hardcover",33,,"7,064 people are currently reading",45k people want to read
132,You'll Never Believe What Happened to Lacey: Crazy Stories about Racism,"First published January 12, 2021",Amber Ruffin,,4.42,"21,431 ratings","215 pages, Hardcover",34,,803 people are currently reading,25.1k people want to read
133,Winterkeep,"First published January 19, 2021",Kristin Cashore,Fantasy,4.01,"17,437 ratings","528 pages, Hardcover",35,,"1,075 people are currently reading",46.5k people want to read
134,The Personal Librarian,"First published June 29, 2021",Marie Benedict,,4.05,"191,162 ratings","341 pages, Hardcover",36,,15.8k people are currently reading,239k people want to read
135,The Girl from the Sea,"First published June 1, 2021",Molly Knox Ostertag,,4.13,"54,933 ratings","256 pages, Hardcover",37,,630 people are currently reading,63.6k people want to read
136,The Sentence,"First published November 9, 2021",Louise Erdrich,,3.95,"75,557 ratings","387 pages, Hardcover",38,,"7,038 people are currently reading",122k people want to read
137,Neon Gods,"First published June 1, 2021",Katee Robert,,3.70,"273,533 ratings","380 pages, Paperback",39,,15.7k people are currently reading,293k people want to read
138,Namesake,"First published March 16, 2021",Adrienne Young,,4.03,"60,983 ratings","360 pages, Hardcover",40,,"1,679 people are currently reading",72.1k people want to read
139,Under a White Sky: The Nature of the Future,"First published February 9, 2021",Elizabeth Kolbert,,4.10,"12,365 ratings","234 pages, Hardcover",41,,"1,552 people are currently reading",40k people want to read
140,"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War","First published April 27, 2021",Malcolm Gladwell,,4.03,"57,130 ratings","256 pages, Hardcover",42,,"4,281 people are currently reading",49k people want to read
141,Tokyo Ever After,"First published May 18, 2021",Emiko Jean,,3.89,"48,355 ratings","336 pages, Hardcover",43,,"2,050 people are currently reading",89.8k people want to read
142,Band of Sisters,"First published March 16, 2021",Lauren Willig,Historical Fiction,4.07,"11,168 ratings","524 pages, Kindle Edition",44,,"1,121 people are currently reading",32k people want to read
143,Mary Jane,"First published May 11, 2021",Jessica Anya Blau,Historical Fiction,4.13,"95,790 ratings","320 pages, Hardcover",45,,"4,561 people are currently reading",126k people want to read
144,Sunflower Sisters,"First published March 30, 2021",Martha Hall Kelly,Historical Fiction,4.26,"28,397 ratings","528 pages, Hardcover",46,,"2,901 people are currently reading",63.9k people want to read
145,Iron Widow,"First published September 21, 2021",Xiran Jay Zhao,,4.05,"93,509 ratings","394 pages, Hardcover",47,,"5,553 people are currently reading",213k people want to read
146,Vespertine,"First published October 5, 2021",Margaret Rogerson,Fantasy,4.10,"23,004 ratings","400 pages, Hardcover",48,,"1,083 people are currently reading",70.1k people want to read
147,Yearbook,"First published May 11, 2021",Seth Rogen,,4.16,"74,795 ratings","260 pages, Hardcover",49,,"2,460 people are currently reading",75.1k people want to read
148,Shipped,"First published January 19, 2021",Angie Hockman,,3.63,"68,810 ratings","336 pages, Paperback",50,,"1,499 people are currently reading",99.1k people want to read
149,Amari and the Night Brothers,"First published January 19, 2021",B.B. Alston,,4.37,"32,432 ratings","416 pages, Hardcover",51,,"1,593 people are currently reading",40.8k people want to read
150,"Made in China: A Prisoner, an SOS Letter, and the Hidden Cost of America's Cheap Goods","First published February 2, 2021",Amelia Pang,Nonfiction,4.36,"2,058 ratings","288 pages, Hardcover",52,,252 people are currently reading,"8,481 people want to read"
151,As Good As Dead,"First published August 5, 2021",Holly Jackson,,4.20,"445,958 ratings","500 pages, Hardcover",53,,25.5k people are currently reading,385k people want to read
152,The Tea Dragon Tapestry,"First published June 1, 2021",Kay O'Neill,Graphic Novels,4.50,"21,401 ratings","135 pages, Hardcover",54,,265 people are currently reading,21.5k people want to read
153,The Unwilling,"First published February 2, 2021",John Hart,Historical Fiction,4.15,"8,399 ratings","379 pages, Kindle Edition",55,,872 people are currently reading,16k people want to read
154,The Storyteller: Tales of Life and Music,"First published October 5, 2021",Dave Grohl,Nonfiction,4.46,"153,594 ratings","384 pages, Hardcover",56,,"9,659 people are currently reading",82.7k people want to read
155,The Therapist,"First published January 7, 2021",B.A. Paris,Thriller,3.77,"114,098 ratings","298 pages, Hardcover",57,,"4,612 people are currently reading",90.8k people want to read
156,Gods & Monsters,"First published July 27, 2021",Shelby Mahurin,,3.95,"70,601 ratings","624 pages, Kindle Edition",58,,"3,900 people are currently reading",137k people want to read
157,Between Two Kingdoms: A Memoir of a Life Interrupted,"First published February 9, 2021",Suleika Jaouad,,4.43,"104,331 ratings","352 pages, Hardcover",59,,"5,404 people are currently reading",170k people want to read
158,The Book of Accidents,"First published July 20, 2021",Chuck Wendig,,3.73,"25,386 ratings","530 pages, Hardcover",60,,"2,123 people are currently reading",78.8k people want to read
159,You Have a Match,"First published January 12, 2021",Emma Lord,,3.56,"35,837 ratings","309 pages, Kindle Edition",61,,"1,841 people are currently reading",68.1k people want to read
160,Matrix,"First published September 7, 2021",Lauren Groff,Historical Fiction,3.68,"61,687 ratings","260 pages, Hardcover",62,,"5,496 people are currently reading",85.8k people want to read
161,ADHD 2.0: New Science and Essential Strategies for Thriving with Distraction—From Childhood Through Adulthood,"First published January 12, 2021",Edward M. Hallowell,Adhd,4.08,"9,759 ratings","208 pages, Hardcover",63,,"3,230 people are currently reading",17.5k people want to read
162,The Last Bookshop in London,"First published April 6, 2021",Madeline Martin,Historical Fiction,4.15,"81,258 ratings","325 pages, Paperback",64,,"4,489 people are currently reading",136k people want to read
163,She Who Became the Sun,"First published July 20, 2021",Shelley Parker-Chan,,3.86,"80,233 ratings","416 pages, Kindle Edition",65,,"9,318 people are currently reading",336k people want to read
164,The Kindest Lie,"First published February 2, 2021",Nancy Johnson,Fiction,3.56,"22,157 ratings","336 pages, ebook",66,,"1,678 people are currently reading",76.2k people want to read
165,Oh William!,"First published October 19, 2021",Elizabeth Strout,,3.86,"85,749 ratings","240 pages, Hardcover",67,,"4,598 people are currently reading",75.1k people want to read
166,Arsenic and Adobo,"First published May 4, 2021",Mia P. Manansala,,3.54,"71,462 ratings","336 pages, Kindle Edition",68,,"2,467 people are currently reading",109k people want to read
167,A Master of Djinn,"First published May 11, 2021",P. Djèlí Clark,,4.02,"30,904 ratings","438 pages, Kindle Edition",69,,"3,013 people are currently reading",97.1k people want to read
168,Dark Sky,"First published March 2, 2021",C.J. Box,Mystery,4.45,"26,029 ratings","368 pages, Kindle Edition",70,,"2,069 people are currently reading","5,452 people want to read"
