,Title,Publication Date,Author,Genre,Average Rating,Number of Ratings,Pages,Rank,Language,Currently Reading,Want to Read
14,Across the River and into the Trees,"First published January 1, 1950",Ernest Hemingway,Fiction,3.30,"10,775 ratings","272 pages, Hardcover",16,English,755 people are currently reading,"9,145 people want to read"
15,Death in the Afternoon,"First published January 1, 1932",Ernest Hemingway,Classics,3.67,"9,261 ratings","496 pages, Paperback",17,,682 people are currently reading,10.8k people want to read
16,The Nick Adams Stories,"First published January 1, 1966",Ernest Hemingway,Fiction,4.02,"8,138 ratings","268 pages, Hardcover",18,English,408 people are currently reading,"5,003 people want to read"
17,A Clean Well-Lighted Place,"First published January 1, 1933",Ernest Hemingway,Short Stories,4.10,"6,580 ratings","30 pages, Hardcover",19,English,61 people are currently reading,"5,246 people want to read"
18,On Writing,"First published June 1, 1984",Ernest Hemingway,Writing,4.04,"4,495 ratings","160 pages, Paperback",20,English,490 people are currently reading,17.8k people want to read
19,The Torrents of Spring,"First published January 1, 1926",Ernest Hemingway,Fiction,3.11,"5,520 ratings","96 pages, Paperback",21,English,198 people are currently reading,"3,541 people want to read"
20,The Short Happy Life of Francis Macomber and Other Stories,"First published January 1, 1936",Ernest Hemingway,Short Stories,4.01,"3,006 ratings","72 pages, Paperback",22,English,46 people are currently reading,"2,365 people want to read"
21,True at First Light,"First published January 1, 1999",Ernest Hemingway,Fiction,3.34,"3,249 ratings","320 pages, Paperback",23,English,202 people are currently reading,"3,458 people want to read"
22,Winner Take Nothing,"First published October 27, 1933",Ernest Hemingway,Fiction,3.69,"2,661 ratings","162 pages, Paperback",24,English,182 people are currently reading,"2,672 people want to read"
23,The Dangerous Summer,"First published June 1, 1985",Ernest Hemingway,Fiction,3.66,"2,351 ratings","240 pages, Paperback",25,English,91 people are currently reading,"2,899 people want to read"
24,Big Two-Hearted River,"First published January 1, 1925",Ernest Hemingway,Classics,3.87,"1,994 ratings","90 pages, Audio CD",26,English,137 people are currently reading,"1,929 people want to read"
25,The Short Happy Life of Francis Macomber,"First published January 1, 1936",Ernest Hemingway,Short Stories,3.77,"1,642 ratings",33 pages,27,,23 people are currently reading,913 people want to read
26,گربه زیر باران,"12 pages, ebook",Ernest Hemingway,Short Stories,3.48,"1,684 ratings","12 pages, ebook",28,,15 people are currently reading,887 people want to read
27,The Fifth Column and Four Stories of the Spanish Civil War,"First published January 1, 1938",Ernest Hemingway,Fiction,3.56,"1,592 ratings","154 pages, Paperback",29,English,40 people are currently reading,"1,600 people want to read"
28,Indian Camp,24 pages,Ernest Hemingway,Short Stories,3.40,"1,365 ratings",24 pages,30,,18 people are currently reading,"1,010 people want to read"
29,The Sun Also Rises: The Original 1926 Unabridged And Complete Edition,"Published October 1, 2023",Ernest Hemingway,Classics,3.65,"1,317 ratings","237 pages, Kindle Edition",1,English,885 people are currently reading,638 people want to read
30,The Killers,"First published January 1, 1927",Ernest Hemingway,Short Stories,3.22,"1,449 ratings",11 pages,2,,15 people are currently reading,"1,160 people want to read"
31,The Hemingway Stories,"First published March 2, 2021",Ernest Hemingway,Fiction,4.08,"1,051 ratings","304 pages, Paperback",3,English,397 people are currently reading,"5,924 people want to read"
32,The Old Man and the Sea/The Sun Also Rises/A Farewell to Arms/For Whom the Bell Tolls,"First published March 1, 1983",Ernest Hemingway,Classics,4.12,966 ratings,Hardcover,4,English,27 people are currently reading,757 people want to read
33,Four Novels,"First published October 5, 2011",Ernest Hemingway,,4.27,834 ratings,"878 pages, Hardcover",5,English,,
34,Soldier's Home,"First published January 1, 1925",Ernest Hemingway,Short Stories,3.60,860 ratings,"First published January 1, 1925",6,,18 people are currently reading,556 people want to read
35,پیرمردی بر سر پل,"13 pages, ebook",Ernest Hemingway,Short Stories,3.31,935 ratings,"13 pages, ebook",7,,12 people are currently reading,431 people want to read
36,By-Line: Selected Articles and Dispatches of Four Decades,"First published January 1, 1967",Ernest Hemingway,Nonfiction,3.95,711 ratings,"512 pages, Paperback",8,English,115 people are currently reading,871 people want to read
37,In Another Country,"First published January 1, 1927",Ernest Hemingway,Short Stories,3.47,716 ratings,8 pages,9,,14 people are currently reading,886 people want to read
38,یک روز انتظار,"First published January 1, 1933",Ernest Hemingway,Short Stories,3.39,707 ratings,"15 pages, ebook",10,,12 people are currently reading,291 people want to read
39,Los asesinos,"First published January 1, 1927",Ernest Hemingway,Short Stories,3.38,564 ratings,"215 pages, Hardcover",12,Spanish; Castilian,8 people are currently reading,585 people want to read
40,The Snows of Kilimanjaro/The Short Happy Life of Francis Macomber,"First published January 1, 1936",Ernest Hemingway,Classics,3.90,463 ratings,Audio Cassette,13,English,4 people are currently reading,251 people want to read
41,Up In Michigan,"First published January 17, 2014",Ernest Hemingway,Short Stories,3.25,535 ratings,"5 pages, Unknown Binding",14,,32 people are currently reading,337 people want to read
42,The Essential Hemingway,"First published January 1, 1947",Ernest Hemingway,Fiction,3.79,456 ratings,"507 pages, Paperback",15,English,87 people are currently reading,781 people want to read
43,Hemingway on Fishing,"First published January 1, 2000",Ernest Hemingway,Nonfiction,4.04,416 ratings,"272 pages, Paperback",16,English,65 people are currently reading,664 people want to read
44,A Very Short Story,"First published January 1, 1924",Ernest Hemingway,Short Stories,3.10,535 ratings,2 pages,17,,2 people are currently reading,171 people want to read
45,On Paris,"First published April 28, 2008",Ernest Hemingway,Nonfiction,3.86,426 ratings,"71 pages, Paperback",18,English,17 people are currently reading,978 people want to read
46,The End of Something,"First published January 1, 1925",Ernest Hemingway,Short Stories,3.41,471 ratings,5 pages,19,,7 people are currently reading,225 people want to read
47,Selected Letters 1917-1961,"First published January 1, 1981",Ernest Hemingway,Nonfiction,4.14,378 ratings,"976 pages, Hardcover",20,English,17 people are currently reading,918 people want to read
48,My Old Man,"9 pages, ebook",Ernest Hemingway,Short Stories,3.28,474 ratings,"9 pages, ebook",21,,9 people are currently reading,236 people want to read
49,Complete Poems,"First published January 1, 1979",Ernest Hemingway,Poetry,3.28,457 ratings,"200 pages, Paperback",22,English,16 people are currently reading,537 people want to read
50,The Capital of the World,"First published June 1, 1936",Ernest Hemingway,Short Stories,3.39,397 ratings,"19 pages, Unknown Binding",23,,7 people are currently reading,180 people want to read
51,The Short Stories of Ernest Hemingway: The Hemingway Library Collector's Edition,"Published July 18, 2017",Ernest Hemingway,Classics,4.10,323 ratings,"414 pages, Kindle Edition",24,English,426 people are currently reading,345 people want to read
52,Ernest Hemingway: The Last Interview and Other Conversations,"First published December 15, 2015",Ernest Hemingway,Nonfiction,4.12,311 ratings,"96 pages, Paperback",25,English,52 people are currently reading,557 people want to read
53,The Three-Day Blow,"First published January 1, 1925",Ernest Hemingway,Short Stories,3.05,403 ratings,"First published January 1, 1925",26,,8 people are currently reading,157 people want to read
54,The Undefeated,"First published September 1, 1927",Ernest Hemingway,Short Stories,3.27,370 ratings,"48 pages, Paperback",27,English,9 people are currently reading,532 people want to read
55,"The Letters of Ernest Hemingway: Volume 1, 1907–1922","First published January 1, 1981",Ernest Hemingway,Nonfiction,4.07,285 ratings,"431 pages, Hardcover",28,English,36 people are currently reading,938 people want to read
56,Short Story Masterpieces: 35 Classic American and British Stories from the First Half of the 20th Century,"First published January 1, 1954",Ernest Hemingway,Short Stories,3.85,295 ratings,"528 pages, Mass Market Paperback",29,English,34 people are currently reading,614 people want to read
57,"The Short Stories, Vol 1","First published September 1, 2002",Ernest Hemingway,Fiction,3.68,296 ratings,Audiobook,30,English,4 people are currently reading,153 people want to read
58,Fifty Grand,"First published January 1, 1927",Ernest Hemingway,Short Stories,3.49,260 ratings,25 pages,1,,2 people are currently reading,191 people want to read
59,The Old Man And The Sea,"Published July 25, 2024",Ernest Hemingway,Classics,4.13,208 ratings,Kindle Edition,2,,185 people are currently reading,13 people want to read
60,Men at War,"First published January 1, 1942",Ernest Hemingway,History,3.96,204 ratings,"1072 pages, Hardcover",3,English,47 people are currently reading,898 people want to read
61,Under Kilimanjaro,"First published January 1, 2005",Ernest Hemingway,Fiction,3.55,202 ratings,"472 pages, Hardcover",4,English,16 people are currently reading,454 people want to read
62,Hemingway on Hunting,"First published January 1, 2001",Ernest Hemingway,Outdoors,3.91,169 ratings,"336 pages, Paperback",5,English,24 people are currently reading,301 people want to read
63,Por Quién Doblan Las Campanas / El Viejo Y El Mar,"Published January 1, 1986",Ernest Hemingway,,4.14,140 ratings,"374 pages, Hardcover",7,Spanish; Castilian,,
64,Der Alte Mann und das Meer,"Published March 1, 2014",Ernest Hemingway,,3.45,167 ratings,Paperback,8,,,
65,El viejo y el mar y otros cuentos,"Published September 1, 1983",Ernest Hemingway,Spanish Literature,3.83,149 ratings,"101 pages, Paperback",9,,4 people are currently reading,91 people want to read
66,For Whom the Bell Tolls / The Snows of Kilimanjaro / Fiesta / The Short Happy Life of Francis Macomber / Across the River and into the Trees / The Old Man and the Sea,"First published June 1, 1966",Ernest Hemingway,Fiction,4.09,139 ratings,"862 pages, Hardcover",10,English,5 people are currently reading,180 people want to read
67,On the Quai at Smyrna,"First published January 1, 1922",Ernest Hemingway,Short Stories,2.94,193 ratings,Audio Cassette,11,,83 people want to read,
68,Homage to Switzerland,"First published January 1, 1932",Ernest Hemingway,Short Stories,3.53,156 ratings,Audiobook,12,,2 people are currently reading,153 people want to read
69,"The Short Stories, vol 2","First published November 11, 2002",Ernest Hemingway,Fiction,3.68,147 ratings,"5 pages, Audio CD",13,English,1 person is currently reading,93 people want to read
70,Out of Season,"First published January 1, 1923",Ernest Hemingway,Short Stories,2.76,196 ratings,"6 pages, Unknown Binding",14,,6 people are currently reading,69 people want to read
71,"The Short Stories, Vol 3","First published March 1, 2003",Ernest Hemingway,Fiction,3.64,141 ratings,"5 pages, Audio CD",15,English,1 person is currently reading,88 people want to read
72,Hemingway on War,"Published October 12, 2004",Ernest Hemingway,Fiction,3.81,134 ratings,"384 pages, Paperback",16,English,21 people are currently reading,308 people want to read
73,A Canary for One,"First published January 1, 1927",Ernest Hemingway,Short Stories,3.23,158 ratings,"6 pages, Paperback",17,,78 people want to read,
74,The Sea Change,"First published January 1, 1933",Ernest Hemingway,Short Stories,3.47,147 ratings,5 pages,18,,114 people want to read,
75,Pursuit as Happiness,"Published June 1, 2020",Ernest Hemingway,Short Stories,3.65,138 ratings,ebook,20,,1 person is currently reading,51 people want to read
76,The Fifth Column,"First published January 1, 1969",Ernest Hemingway,Classics,3.15,157 ratings,"95 pages, Paperback",21,,6 people are currently reading,101 people want to read
77,Now I Lay Me,"First published January 1, 2013",Ernest Hemingway,Short Stories,3.61,136 ratings,"9 pages, Paperback",22,Spanish; Castilian,1 person is currently reading,88 people want to read
78,Big Two-Hearted River: The Centennial Edition,"Published May 9, 2023",Ernest Hemingway,Classics,4.18,116 ratings,"1 pages, Audio CD",23,English,10 people are currently reading,69 people want to read
79,الفراشة والدبابة وقصص أخرى,"First published January 1, 2012",Ernest Hemingway,English Literature,2.71,174 ratings,"274 pages, Paperback",25,Arabic,12 people are currently reading,404 people want to read
80,A Way You'll Never Be,"First published October 27, 1933",Ernest Hemingway,Short Stories,3.39,139 ratings,"12 pages, Unknown Binding",26,,1 person is currently reading,83 people want to read
81,"Прощай, оружие! / По ком звонит колокол / Старик и море","First published January 1, 1986",Ernest Hemingway,,4.29,109 ratings,656 pages,27,,,
82,L'étrange contrée,"Published January 15, 2003",Ernest Hemingway,,2.80,163 ratings,"110 pages, Pocket Book",29,French,,
83,"Gambler, the Nun, and the Radio",18 pages,Ernest Hemingway,Short Stories,3.53,121 ratings,18 pages,30,,1 person is currently reading,36 people want to read
84,Today is Friday,22 pages,Ernest Hemingway,Short Stories,3.32,134 ratings,22 pages,1,,82 people want to read,
85,Banal Story,"Published January 1, 1927",Ernest Hemingway,Short Stories,3.03,143 ratings,4 pages,2,,456 people want to read,
86,"The Letters of Ernest Hemingway: Volume 2, 1923–1925","First published October 31, 2013",Ernest Hemingway,Biography,4.34,99 ratings,"604 pages, Hardcover",3,English,6 people are currently reading,349 people want to read
87,El Viejo y El Mar. Las Nieves del Kilimanyaro. La Vida Breve y Feliz de Francis Macomber.,"First published January 1, 1998",Ernest Hemingway,Classics,3.97,107 ratings,"121 pages, Paperback",4,Spanish; Castilian,3 people are currently reading,56 people want to read
88,The Snows of Kilimanjaro,Paperback,Ernest Hemingway,Classics,3.65,115 ratings,Paperback,5,,17 people are currently reading,69 people want to read
89,Three Stories,"Published October 18, 2020",Ernest Hemingway,Fiction,3.76,97 ratings,"34 pages, Kindle Edition",9,,104 people are currently reading,38 people want to read
90,The Collected Works Of Ernest Hemingway: Nine-Book Bundle,"First published March 18, 2014",Ernest Hemingway,Classics,4.06,87 ratings,"2377 pages, Kindle Edition",10,English,84 people are currently reading,155 people want to read
91,"Фиеста / Прощай, оружие!","Published January 1, 2000",Ernest Hemingway,Fiction,4.14,84 ratings,"520 pages, Hardcover",11,Russian,1 person is currently reading,52 people want to read
92,Conversations with Ernest Hemingway,"First published November 1, 1986",Ernest Hemingway,Nonfiction,4.16,82 ratings,"204 pages, Paperback",12,English,5 people are currently reading,198 people want to read
93,The Sun Also Rises,"Published June 12, 2024",Ernest Hemingway,Classics,4.04,83 ratings,"384 pages, Paperback",13,English,21 people are currently reading,83 people want to read
94,Fathers and Sons: Short Stories: Fathers and Sons: Short Stories,"First published January 1, 1933",Ernest Hemingway,Short Stories,3.22,103 ratings,Paperback,14,German,3 people are currently reading,72 people want to read
95,Zăpezile de pe Kilimanjaro și alte povestiri,"First published January 1, 2007",Ernest Hemingway,Short Stories,3.98,83 ratings,"520 pages, Paperback",15,Romanian,12 people are currently reading,79 people want to read
96,A Simple Enquiry,"First published January 1, 1927",Ernest Hemingway,Short Stories,3.20,101 ratings,"6 pages, Paperback",16,,1 person is currently reading,43 people want to read
97,"Праздник, который всегда с тобой / Прощай, оружие!","Published January 1, 2010",Ernest Hemingway,,4.47,72 ratings,"432 pages, Hardcover",17,Russian,,
98,Dear Papa: The Letters of Patrick and Ernest Hemingway,"Published June 14, 2022",Ernest Hemingway,Nonfiction,3.56,89 ratings,"336 pages, Hardcover",18,English,24 people are currently reading,151 people want to read
99,For Whom the Bell Tolls Part 1,Paperback Bunko,Ernest Hemingway,Classics,4.33,72 ratings,Paperback Bunko,19,,3 people are currently reading,120 people want to read
100,Contos de Ernest Hemingway,"First published January 1, 2009",Ernest Hemingway,Short Stories,3.53,86 ratings,"206 pages, Paperback",21,Portuguese,8 people are currently reading,65 people want to read
101,El viejo y el mar,"First published September 1, 1951",Ernest Hemingway,,4.04,73 ratings,Kindle Edition,22,,,
102,Старецът и морето,"Published January 1, 2008",Ernest Hemingway,Classics,4.11,72 ratings,"77 pages, Paperback",23,,4 people are currently reading,23 people want to read
103,المجموعة القصصية الكاملة لإرنست همنغواي: الجزء الأول,"First published January 1, 1952",Ernest Hemingway,,3.57,79 ratings,"382 pages, Paperback",24,,,
104,Che Ti Dice La Patria?,"First published January 1, 1927",Ernest Hemingway,Short Stories,3.17,89 ratings,"First published January 1, 1927",25,,26 people want to read,
105,For Whom the Bell Tolls/To Have and Have Not,"Published January 1, 2003",Ernest Hemingway,Fiction,4.26,66 ratings,"692 pages, Mass Market Paperback",26,English,5 people are currently reading,94 people want to read
106,An Alpine Idyll,"First published January 1, 1927",Ernest Hemingway,Short Stories,3.22,85 ratings,"188 pages, Mass Market Paperback",28,English,35 people want to read,
107,A Pursuit Race,"Published January 1, 1927",Ernest Hemingway,Short Stories,3.29,79 ratings,"6 pages, Paperback",29,,24 people want to read,
108,88 Poems,"First published January 1, 1979",Ernest Hemingway,Poetry,3.09,82 ratings,"189 pages, Hardcover",1,English,4 people are currently reading,176 people want to read
109,Adiós a las armas,"Published September 4, 2014",Ernest Hemingway,,3.65,68 ratings,"376 pages, Paperback",2,,,
110,Camping Out,"First published October 28, 2014",Ernest Hemingway,,4.08,59 ratings,"32 pages, Hardcover",3,English,,
111,Fiesta & Stařec a moře,"Published January 1, 1985",Ernest Hemingway,Classics,3.55,66 ratings,"284 pages, Hardcover",5,,1 person is currently reading,23 people want to read
112,Ernest Hemingway: The Sun Also Rises & Other Writings 1918-1926,"Published September 22, 2020",Ernest Hemingway,Fiction,4.28,54 ratings,"864 pages, Hardcover",6,English,7 people are currently reading,107 people want to read
113,The Ernest Hemingway Audio Collection,"First published May 1, 2001",Ernest Hemingway,Fiction,4.37,52 ratings,"4 pages, Audio CD",8,English,2 people are currently reading,48 people want to read
114,The Hemingway Reader,"First published January 1, 1953",Ernest Hemingway,Fiction,4.04,56 ratings,"652 pages, Hardcover",9,,1 person is currently reading,114 people want to read
115,Dateline Toronto: The Complete Toronto Star Dispatches 1920-24,"First published January 1, 1985",Ernest Hemingway,Journalism,3.94,53 ratings,"478 pages, Hardcover",10,English,18 people are currently reading,175 people want to read
116,Иметь и не иметь,"First published January 1, 2001",Ernest Hemingway,Fiction,3.87,54 ratings,"603 pages, Hardcover",11,,23 people want to read,
117,The Light of the World,"Published January 1, 1933",Ernest Hemingway,Short Stories,2.79,75 ratings,6 pages,12,,1 person is currently reading,30 people want to read
118,Stories Of Ernest Hemingway,"Published January 1, 1996",Ernest Hemingway,Fiction,4.38,47 ratings,"Published January 1, 1996",14,,3 people are currently reading,89 people want to read
119,Старик и море. Рассказы,"Published June 29, 2019",Ernest Hemingway,Fiction,4.23,48 ratings,"207 pages, ebook",16,,1 person is currently reading,19 people want to read
120,The Wild Years,"First published January 1, 1962",Ernest Hemingway,Nonfiction,3.84,50 ratings,"288 pages, Paperback",18,,6 people are currently reading,127 people want to read
121,Romanzi Vol. 1,"Published January 1, 2007",Ernest Hemingway,Fiction,4.27,45 ratings,"1351 pages, Hardcover",19,Italian,3 people are currently reading,101 people want to read
122,The Sun Also Rises and Other Stories,"Published January 25, 2022",Ernest Hemingway,Classics,3.67,52 ratings,"368 pages, Kindle Edition",20,,22 people are currently reading,58 people want to read
123,The Old Man and the Sea / To Have and Have Not,"First published January 1, 2014",Ernest Hemingway,Classics,3.57,53 ratings,"277 pages, Hardcover",21,English,2 people are currently reading,48 people want to read
124,The Last Good Country,"First published January 1, 1972",Ernest Hemingway,Short Stories,3.91,47 ratings,129 pages,22,,2 people are currently reading,50 people want to read
125,Ventuno racconti,"First published January 1, 1988",Ernest Hemingway,Fiction,3.59,51 ratings,"400 pages, Paperback",23,Italian,4 people are currently reading,46 people want to read
126,Old Man And The Sea & For Whom The Bell Tolls,"Published March 15, 2022",Ernest Hemingway,,4.14,44 ratings,"104 pages, Kindle Edition",24,,,
127,"Senis ir jūra / Šventė, kuri visada su tavimi","Published January 1, 1994",Ernest Hemingway,,3.83,47 ratings,"197 pages, Hardcover",25,Lithuanian,,
128,Старик и море. Зеленые холмы Африки,"Published January 1, 2018",Ernest Hemingway,,3.96,45 ratings,"381 pages, Paperback",26,Russian,,
129,Белые слоны,"First published January 1, 1927",Ernest Hemingway,,4.02,43 ratings,10 pages,27,,,
130,Der alte Mann und das Meer und andere Meisterwerke,"Published January 1, 1960",Ernest Hemingway,Classics,4.28,39 ratings,"422 pages, Hardcover",29,,1 person is currently reading,36 people want to read
131,Complete Works of Ernest Hemingway,"Published June 19, 2016",Ernest Hemingway,Fiction,3.95,42 ratings,"3747 pages, Kindle Edition",30,English,188 people are currently reading,138 people want to read
132,ADIOS A LAS ARMAS,"Published January 1, 2000",Ernest Hemingway,,3.78,45 ratings,Paperback,1,,,
133,"The Letters of Ernest Hemingway: Volume 3, 1926–1929","First published September 30, 2015",Ernest Hemingway,Nonfiction,4.66,35 ratings,"731 pages, Hardcover",3,English,4 people are currently reading,112 people want to read
134,The Butterfly and the Tank,"Published January 1, 1932",Ernest Hemingway,Short Stories,3.93,41 ratings,"52 pages, Paperback",4,,1 person is currently reading,45 people want to read
135,Le Opere: Fiesta - Addio alle armi - Da: I quarantanove racconti - Il vecchio e il mare,"First published January 1, 1978",Ernest Hemingway,,3.88,40 ratings,"807 pages, Hardcover",5,Italian,,
136,Histoire naturelle des morts et autres nouvelles,"First published May 1, 2005",Ernest Hemingway,,3.23,48 ratings,"96 pages, Pocket Book",6,French,,
137,Den Gamle och Havet / I Vår Tid,"Published January 1, 1994",Ernest Hemingway,,3.42,45 ratings,"206 pages, Hardcover",7,Swedish,,
138,El Buen Leon=The Good Lion,"First published January 1, 1978",Ernest Hemingway,Short Stories,3.45,44 ratings,Hardcover,8,Spanish; Castilian,17 people want to read,
139,ชายชราและทะเล,"Published September 1, 2014",Ernest Hemingway,,4.08,37 ratings,"96 pages, Paperback",9,Thai,,
140,El Toro Fiel / the Faithful Bull,"First published November 14, 1980",Ernest Hemingway,Short Stories,3.68,41 ratings,Hardcover,10,Spanish; Castilian,11 people want to read,
141,The Sun Also Rises and Other Works,"Published January 25, 2022",Ernest Hemingway,Classics,3.66,41 ratings,"448 pages, Leather Bound",11,English,18 people are currently reading,80 people want to read
142,The Only Thing That Counts: The Ernest Hemingway-Maxwell Perkins Correspondence,"First published January 1, 1996",Ernest Hemingway,Nonfiction,3.97,37 ratings,"365 pages, Paperback",13,English,4 people are currently reading,83 people want to read
143,Kizhavanum Kadalum,"Published January 1, 2011",Ernest Hemingway,Fiction,4.36,33 ratings,Paperback,14,Tamil,9 people are currently reading,76 people want to read
144,Niepokonany i inne opowiadania,"First published January 1, 1987",Ernest Hemingway,,3.18,45 ratings,77 pages,15,Polish,,
145,Fiesta : Ernest Hemingway,"Published June 6, 2022",Ernest Hemingway,,3.64,39 ratings,"297 pages, Kindle Edition",16,,,
146,Ernest Hemingway Reads,"First published April 1, 1986",Ernest Hemingway,,3.73,37 ratings,Audio Cassette,17,English,,
147,Muerte en la tarde / París era una fiesta,"Published October 1, 2014",Ernest Hemingway,,3.83,36 ratings,"478 pages, Paperback",19,Spanish; Castilian,,
148,Old man and the sea; Sun also rises & For whom the bell tolls,"Published February 24, 2023",Ernest Hemingway,,4.22,32 ratings,"1044 pages, Kindle Edition",20,,,
149,"HEMINGWAY PREMIUM 7-BOOK COLLECTION The Old Man And The Sea,A Farewell To Arms,For Whom The Bell Tolls,The Sun Also Rises,Across The River And Into The ... Afternoon","First published June 24, 2014",Ernest Hemingway,,3.97,33 ratings,Kindle Edition,21,,,
150,The Sun Also Rises / The Old Man And The Sea,"First published October 7, 2014",Ernest Hemingway,Classics,3.74,35 ratings,"336 pages, Paperback",22,English,10 people are currently reading,46 people want to read
151,The Short Stories of Ernest Hemingway Volume II,"Published January 1, 2014",Ernest Hemingway,,4.06,32 ratings,Audiobook,24,English,,
152,Ernest Hemingway: 17 Cerita Terbaik,"First published December 1, 2014",Ernest Hemingway,Fiction,3.23,40 ratings,"280 pages, Paperback",25,Indonesian,14 people are currently reading,118 people want to read
153,"Romanzi, Vol. 2","Published January 1, 2005",Ernest Hemingway,Fiction,4.27,30 ratings,"1165 pages, Hardcover",26,Italian,3 people are currently reading,55 people want to read
154,Фиеста (И восходит солнце). Старик и море. Рассказы,"First published January 1, 1994",Ernest Hemingway,,4.38,29 ratings,"494 pages, Hardcover",27,,,
155,Опасное лето,"First published January 1, 2002",Ernest Hemingway,Fiction,3.71,34 ratings,"539 pages, Hardcover",28,,9 people want to read,
156,แมวในสายฝน และเรื่องสั้นคัดสรรอื่นๆ,"Published January 1, 2017",Ernest Hemingway,,3.24,38 ratings,"120 pages, Paperback",29,Thai,,
157,"25+ Ernest Hemingway Collection. Novels. Stories. Poems: The Sun Also Rises, The Torrents of Spring, Men Without Women and others","Published February 27, 2023",Ernest Hemingway,,4.07,30 ratings,"529 pages, Kindle Edition",30,English,,
158,The Sun Also Rises: Ernest Hemingway's best novel,"Published June 3, 2023",Ernest Hemingway,,3.85,33 ratings,"129 pages, Paperback",1,English,,
159,Фієста. По кому подзвін,"First published January 1, 1984",Ernest Hemingway,Classics,4.17,30 ratings,"520 pages, Hardcover",2,,2 people are currently reading,17 people want to read
160,Ърнест Хемингуей Избрани творби в три тома.,"Published January 1, 1989",Ernest Hemingway,Adventure,4.03,30 ratings,"550 pages, Hardcover",3,,3 people are currently reading,25 people want to read
161,Старий і море,"Published January 1, 1993",Ernest Hemingway,,4.18,28 ratings,"97 pages, Paperback",4,,,
162,Старик и море. Райский сад. Рассказы,"First published January 1, 2009",Ernest Hemingway,,4.33,27 ratings,"474 pages, Paperback",5,Russian,,
163,Farvel til våbnene,"Published January 1, 1967",Ernest Hemingway,,3.71,31 ratings,"280 pages, Hardcover",6,,,
164,La mariposa y el tanque,"First published January 1, 1939",Ernest Hemingway,,3.80,30 ratings,"189 pages, Hardcover",7,Spanish; Castilian,,
165,"Өвгөн тэнгис хоёр, Платеро бид хоёр","First published January 1, 2006",Ernest Hemingway,,4.48,25 ratings,"176 pages, Paperback",8,Mongolian,,
166,10 סיפורים,"First published January 1, 2007",Ernest Hemingway,Short Stories,3.58,31 ratings,"158 pages, Paperback",9,Hebrew,18 people want to read,
167,In Our Time & Three Stories and Ten poems,"First published January 16, 2019",Ernest Hemingway,,3.76,29 ratings,"71 pages, Kindle Edition",10,,,
168,The Best of Ernest Hemingway,"Published March 15, 2022",Ernest Hemingway,,3.89,27 ratings,"1182 pages, Kindle Edition",11,,,
169,Nobody Ever Dies,"First published January 1, 1939",Ernest Hemingway,Short Stories,3.81,27 ratings,ebook,12,,24 people want to read,
